0	1	10
0	2	4
0	3	8
0	4	2
0	5	9
0	6	13
0	7	11
0	8	7
0	9	22
0	10	9
0	11	10
0	12	7
0	13	5
0	14	4
0	15	4
0	16	11
0	17	2
0	18	1
0	19	2
0	20	1
0	21	2
0	22	1
0	23	2
1	2	95
1	3	83
1	4	48
1	5	175
1	6	259
1	7	190
1	8	149
1	9	212
1	10	164
1	11	188
1	12	85
1	13	78
1	14	82
1	15	94
1	16	222
1	17	11
1	18	8
1	19	40
1	20	4
1	21	14
1	22	1
1	23	5
1	24	16
1	25	26
1	26	3
1	27	29
1	28	14
1	29	5
1	30	4
1	31	8
1	32	4
1	33	7
1	34	7
1	35	10
1	36	7
1	37	4
1	38	6
1	39	6
1	40	7
1	41	4
2	3	44
2	4	31
2	5	99
2	6	142
2	7	119
2	8	79
2	9	112
2	10	89
2	11	101
2	12	58
2	13	47
2	14	43
2	15	51
2	16	91
2	17	5
2	18	2
2	19	17
2	20	4
2	21	7
2	22	4
2	23	3
2	24	8
2	25	14
2	26	4
2	27	18
2	28	7
2	29	7
2	30	3
2	31	10
2	32	3
2	33	5
2	34	2
2	35	5
2	36	1
2	37	1
2	38	3
2	39	5
2	40	1
2	41	5
3	4	30
3	5	91
3	6	95
3	7	76
3	8	60
3	9	90
3	10	64
3	11	91
3	12	37
3	13	28
3	14	44
3	15	52
3	16	82
3	17	6
3	18	1
3	19	12
3	21	1
3	23	4
3	24	6
3	25	12
3	26	4
3	27	5
3	28	2
3	29	3
3	30	2
3	31	4
3	32	3
3	33	5
3	34	1
3	35	6
3	36	3
3	37	3
3	38	2
3	39	2
3	40	2
3	41	2
4	5	55
4	6	63
4	7	50
4	8	42
4	9	62
4	10	40
4	11	50
4	12	20
4	13	19
4	14	17
4	15	24
4	16	49
4	17	4
4	18	2
4	19	3
4	20	1
4	21	2
4	23	1
4	24	1
4	25	14
4	26	8
4	27	5
4	28	1
4	29	3
4	31	2
4	32	4
4	33	3
4	35	3
4	36	1
4	37	1
4	38	2
4	39	1
4	40	2
4	41	1
5	6	284
5	7	224
5	8	155
5	9	294
5	10	148
5	11	197
5	12	99
5	13	79
5	14	74
5	15	102
5	16	195
5	17	19
5	18	5
5	19	47
5	20	3
5	21	11
5	22	4
5	23	5
5	24	8
5	25	30
5	26	20
5	27	34
5	28	15
5	29	8
5	30	1
5	31	10
5	32	6
5	33	9
5	34	5
5	35	6
5	36	7
5	37	3
5	38	7
5	39	5
5	40	4
5	41	11
6	7	292
6	8	244
6	9	347
6	10	230
6	11	312
6	12	114
6	13	102
6	14	120
6	15	130
6	16	280
